Game Date:,Match Up:,Win/Loss:,Points:,Rebounds:,Assists:,Threes Made,Pts+Asts+Rebs:,Pts+Asts:,Pts+Rebs:
"APR 02, 2021",CHA @ IND,W,13,8,6,1,27,19,21
"APR 01, 2021",CHA @ BKN,L,13,4,1,1,18,14,17
"MAR 30, 2021",CHA @ WAS,W,26,11,6,3,43,32,37
"MAR 28, 2021",CHA vs. PHX,L,15,6,3,1,24,18,21
"MAR 26, 2021",CHA vs. MIA,W,11,9,3,2,23,14,20
"MAR 24, 2021",CHA @ HOU,W,8,7,3,2,18,11,15
"MAR 22, 2021",CHA @ SAS,W,27,7,6,3,40,33,34
"MAR 20, 2021",CHA @ LAC,L,17,8,4,3,29,21,25
"MAR 18, 2021",CHA @ LAL,L,7,9,10,0,26,17,16
"MAR 17, 2021",CHA @ DEN,L,7,4,6,1,17,13,11
"MAR 15, 2021",CHA vs. SAC,W,25,8,4,2,37,29,33
"MAR 13, 2021",CHA vs. TOR,W,9,7,5,1,21,14,16
"MAR 11, 2021",CHA vs. DET,W,17,3,3,1,23,20,20
"MAR 03, 2021",CHA @ MIN,W,23,5,9,0,37,32,28
"FEB 26, 2021",CHA @ GSW,L,12,2,5,3,19,17,14
"FEB 24, 2021",CHA @ PHX,W,20,8,4,0,32,24,28
"FEB 22, 2021",CHA @ UTA,L,21,3,2,1,26,23,24
"FEB 20, 2021",CHA vs. GSW,W,13,7,1,3,21,14,20
"FEB 12, 2021",CHA vs. MIN,W,14,7,5,2,26,19,21
"FEB 10, 2021",CHA @ MEM,L,15,4,2,1,21,17,19
"FEB 08, 2021",CHA vs. HOU,W,19,5,4,3,28,23,24
"FEB 07, 2021",CHA vs. WAS,W,25,5,3,2,33,28,30
"FEB 05, 2021",CHA vs. UTA,L,25,10,5,1,40,30,35
"FEB 03, 2021",CHA vs. PHI,L,22,6,9,2,37,31,28
"FEB 01, 2021",CHA @ MIA,W,19,6,3,2,28,22,25
"JAN 30, 2021",CHA vs. MIL,W,27,3,2,5,32,29,30
"JAN 29, 2021",CHA vs. IND,W,11,8,6,1,25,17,19
"JAN 27, 2021",CHA vs. IND,L,16,1,4,1,21,20,17
"JAN 25, 2021",CHA @ ORL,L,24,5,4,3,33,28,29
"JAN 24, 2021",CHA @ ORL,W,39,9,1,5,49,40,48
"JAN 22, 2021",CHA vs. CHI,L,34,7,4,2,45,38,41
"JAN 16, 2021",CHA @ TOR,L,25,5,3,1,33,28,30
"JAN 13, 2021",CHA vs. DAL,L,16,4,1,3,21,17,20
"JAN 11, 2021",CHA vs. NYK,W,34,3,3,2,40,37,37
"JAN 09, 2021",CHA vs. ATL,W,13,1,3,1,17,16,14
"JAN 08, 2021",CHA @ NOP,W,26,7,3,4,36,29,33
"JAN 06, 2021",CHA @ ATL,W,44,7,2,4,53,46,51
"JAN 04, 2021",CHA @ PHI,L,18,8,2,2,28,20,26
"JAN 02, 2021",CHA @ PHI,L,20,6,6,2,32,26,26
"JAN 01, 2021",CHA vs. MEM,L,14,3,1,1,18,15,17
"DEC 30, 2020",CHA @ DAL,W,11,7,3,1,21,14,18
"DEC 27, 2020",CHA vs. BKN,W,28,6,7,2,41,35,34
"DEC 26, 2020",CHA vs. OKC,L,12,5,7,0,24,19,17
"DEC 23, 2020",CHA @ CLE,L,28,4,7,4,39,35,32
