Gordon Hayward,Category,Amount of Games,Threshold,Count,Percentage,Decimal Odds,American Odds
 ,Points,5,10,5,100%,1.0,XX-XX
 ,Assists,5,10,0,0%,0.0,0
 ,Rebounds,5,10,1,20%,5.0,400
 ,PAR,5,10,5,100%,1.0,XX-XX
 ,PR,5,10,5,100%,1.0,XX-XX
 ,PA,5,10,5,100%,1.0,XX-XX
 ,Points,10,10,7,70%,1.43,-234
 ,Assists,10,10,1,10%,10.0,900
 ,Rebounds,10,10,1,10%,10.0,900
 ,PAR,10,10,10,100%,1.0,XX-XX
 ,PR,10,10,10,100%,1.0,XX-XX
 ,PA,10,10,10,100%,1.0,XX-XX
 ,Points,25,10,21,84%,1.19,-525
 ,Assists,25,10,1,4%,25.0,2400
 ,Rebounds,25,10,2,8%,12.5,1150
 ,PAR,25,10,25,100%,1.0,XX-XX
 ,PR,25,10,25,100%,1.0,XX-XX
 ,PA,25,10,25,100%,1.0,XX-XX
 ,Points,5,20,1,20%,5.0,400
 ,Assists,5,20,0,0%,0.0,0
 ,Rebounds,5,20,0,0%,0.0,0
 ,PAR,5,20,4,80%,1.25,-401
 ,PR,5,20,4,80%,1.25,-401
 ,PA,5,20,1,20%,5.0,400
 ,Points,10,20,2,20%,5.0,400
 ,Assists,10,20,0,0%,0.0,0
 ,Rebounds,10,20,0,0%,0.0,0
 ,PAR,10,20,7,70%,1.43,-234
 ,PR,10,20,6,60%,1.67,-150
 ,PA,10,20,3,30%,3.33,233
 ,Points,25,20,9,36%,2.78,177
 ,Assists,25,20,0,0%,0.0,0
 ,Rebounds,25,20,0,0%,0.0,0
 ,PAR,25,20,21,84%,1.19,-525
 ,PR,25,20,18,72%,1.39,-258
 ,PA,25,20,13,52%,1.92,-109
 ,Points,5,30,0,0%,0.0,0
 ,Assists,5,30,0,0%,0.0,0
 ,Rebounds,5,30,0,0%,0.0,0
 ,PAR,5,30,1,20%,5.0,400
 ,PR,5,30,1,20%,5.0,400
 ,PA,5,30,1,20%,5.0,400
 ,Points,10,30,0,0%,0.0,0
 ,Assists,10,30,0,0%,0.0,0
 ,Rebounds,10,30,0,0%,0.0,0
 ,PAR,10,30,2,20%,5.0,400
 ,PR,10,30,2,20%,5.0,400
 ,PA,10,30,2,20%,5.0,400
 ,Points,25,30,0,0%,0.0,0
 ,Assists,25,30,0,0%,0.0,0
 ,Rebounds,25,30,0,0%,0.0,0
 ,PAR,25,30,8,32%,3.12,212
 ,PR,25,30,5,20%,5.0,400
 ,PA,25,30,5,20%,5.0,400
