Game Date:,Match Up:,Win/Loss:,Minutes,Points:,Rebounds:,Assists:,Pts+Asts+Rebs:,Pts+Asts:,Pts+Rebs:,PAR/Min:,PA/Min,PR/Min,Threes Made:,Blocks:,Steals:,Personal Fouls:
0     N,SAS vs. LAC,L,33,22,15,3,40,25,37,1.212,0.758,1.121,1,3,1,2
0     N,SAS vs. LAC,L,27,9,3,4,16,13,12,0.593,0.481,0.444,0,2,0,1
0     N,SAS vs. MEM,L,31,19,13,4,36,23,32,1.161,0.742,1.032,2,8,1,5
0     N,SAS vs. SAC,L,30,27,9,0,36,27,36,1.2,0.9,1.2,2,0,2,3
0     N,SAS @ OKC,L,28,8,14,2,24,10,22,0.857,0.357,0.786,0,2,0,2
0     N,SAS vs. MIA,L,34,18,11,7,36,25,29,1.059,0.735,0.853,2,1,1,3
0     N,SAS vs. MIN,L,35,29,9,4,42,33,38,1.2,0.943,1.086,3,4,1,5
0     N,SAS @ NYK,L,30,14,9,2,25,16,23,0.833,0.533,0.767,0,1,0,2
0     N,SAS @ IND,L,21,13,10,0,23,13,23,1.095,0.619,1.095,2,2,1,1
0     N,SAS vs. TOR,L,38,20,9,4,33,24,29,0.868,0.632,0.763,2,5,1,1
0     N,SAS @ PHX,W,34,38,10,2,50,40,48,1.471,1.176,1.412,3,2,1,3
0     N,SAS @ PHX,W,28,18,8,1,27,19,26,0.964,0.679,0.929,2,4,0,3
0     N,SAS @ LAC,L,26,11,5,2,18,13,16,0.692,0.5,0.615,0,1,1,1
0     N,SAS vs. HOU,W,31,21,12,1,34,22,33,1.097,0.71,1.065,0,3,3,2
0     N,SAS vs. DAL,L,23,15,5,2,22,17,20,0.957,0.739,0.87,3,1,2,5
